model,accuracy,loss,params_mb,time_ms
MLP,97.05,0.1904,0.438,1.69
MLP,96.71,0.193,0.406,1.56
MLP,97.0,0.1885,0.444,1.66
MLP,97.01,0.1913,0.423,1.67
MLP,97.06,0.1896,0.444,1.51
CNN,99.07,0.0868,1.261,3.23
CNN,99.04,0.0835,1.227,3.27
CNN,99.16,0.0843,1.307,3.28
CNN,99.02,0.0881,1.231,3.43
CNN,99.08,0.0884,1.241,3.33
ResNet,99.51,0.0554,11.733,8.65
ResNet,99.42,0.0522,11.744,8.64
ResNet,99.5,0.0507,11.714,8.73
ResNet,99.18,0.0532,11.724,8.73
ResNet,99.36,0.0649,11.743,8.79
MobileNet,98.55,0.1033,2.208,2.22
MobileNet,98.91,0.1079,2.217,2.19
MobileNet,98.93,0.1019,2.264,2.33
MobileNet,98.66,0.105,2.207,2.24
MobileNet,98.74,0.1016,2.231,2.16
ViT,99.07,0.0966,86.018,15.38
ViT,98.82,0.0949,86.023,15.3
ViT,99.07,0.0945,86.033,15.32
ViT,98.94,0.0908,86.084,15.59
ViT,98.8,0.1,86.02,15.48
