epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.21365,3.44611,5.91697,4.36651,0,0,0,0,3.47372,5.74518,4.15629,0.0007,0.0007,0.0937
2,5.11837,3.48411,5.90266,4.33799,0,0,0,0,3.47382,5.73623,4.14816,0.0013515,0.0013515,0.0863515
3,7.10398,3.38152,5.89153,4.29125,0,0,0,0,3.47469,5.73171,4.14225,0.0018446,0.0018446,0.0788446
4,9.0322,3.4515,5.88212,4.31029,0,0,0,0,3.47612,5.72619,4.13537,0.0021793,0.0021793,0.0711793
5,11.0296,3.45119,5.8739,4.23651,0,0,0,0,3.47742,5.71901,4.12827,0.0023556,0.0023556,0.0633556
6,12.9846,3.47176,5.80712,4.25257,0,0,0,0,3.47792,5.71377,4.1215,0.0023735,0.0023735,0.0553735
7,14.9902,3.45271,5.78544,4.23955,0,0,0,0,3.47895,5.7084,4.11615,0.002233,0.002233,0.047233
8,16.8886,3.37836,5.77582,4.20378,0,0,0,0,3.47885,5.70549,4.11118,0.0019341,0.0019341,0.0389341
9,18.7965,3.44751,5.7984,4.1991,0,0,0,0,3.47882,5.70193,4.10664,0.0014768,0.0014768,0.0304768
10,20.7352,3.45409,5.81068,4.18322,0,0,0,0,3.4793,5.7001,4.10406,0.0008611,0.0008611,0.0218611
