epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78645,3.65043,5.74989,4.32815,0,0,0,0,3.47352,5.74751,4.15927,8.33e-06,8.33e-06,8.33e-06
2,5.01925,3.49715,5.72245,4.2839,0,0,0,0,3.47334,5.74761,4.15981,1.72609e-05,1.72609e-05,1.72609e-05
3,7.15807,3.62772,5.7211,4.26856,0,0,0,0,3.47331,5.7478,4.16024,2.55636e-05,2.55636e-05,2.55636e-05
4,9.27617,3.58432,5.74175,4.28503,0,0,0,0,3.4733,5.74881,4.16024,3.32379e-05,3.32379e-05,3.32379e-05
5,11.4684,3.64945,5.69338,4.26928,0,0,0,0,3.47243,5.7513,4.16076,4.02839e-05,4.02839e-05,4.02839e-05
6,13.3943,3.53702,5.70992,4.2473,0,0,0,0,3.47151,5.75299,4.16056,4.67016e-05,4.67016e-05,4.67016e-05
7,15.4003,3.60247,5.65893,4.2477,0,0,0,0,3.4708,5.75473,4.16037,5.24909e-05,5.24909e-05,5.24909e-05
8,17.3248,3.62532,5.65959,4.23421,0,0,0,0,3.47041,5.75503,4.16025,5.76519e-05,5.76519e-05,5.76519e-05
9,19.47,3.70231,5.65943,4.23168,0,0,0,0,3.46967,5.757,4.15852,6.21846e-05,6.21846e-05,6.21846e-05
10,21.4775,3.61232,5.69285,4.20739,0,0,0,0,3.46766,5.75798,4.15752,6.6089e-05,6.6089e-05,6.6089e-05
11,23.6174,3.48822,5.67062,4.204,0,0,0,0,3.46598,5.76141,4.156,6.93651e-05,6.93651e-05,6.93651e-05
12,25.6464,3.58905,5.64014,4.218,0,0,0,0,3.46566,5.76352,4.15451,7.20129e-05,7.20129e-05,7.20129e-05
13,27.7054,3.6048,5.62668,4.20157,0,0,0,0,3.46569,5.76558,4.15288,7.1876e-05,7.1876e-05,7.1876e-05
14,29.6886,3.63829,5.61877,4.20498,0,0,0,0,3.46362,5.76834,4.1512,6.7949e-05,6.7949e-05,6.7949e-05
15,31.7375,3.58087,5.61574,4.19286,0,0,0,0,3.46436,5.77116,4.14945,6.4022e-05,6.4022e-05,6.4022e-05
16,33.71,3.5661,5.59907,4.19737,0,0,0,0,3.46374,5.77328,4.14753,6.0095e-05,6.0095e-05,6.0095e-05
17,35.732,3.54727,5.63627,4.17873,0,0,0,0,3.46188,5.77384,4.14506,5.6168e-05,5.6168e-05,5.6168e-05
18,37.7603,3.5626,5.57412,4.17598,0,0,0,0,3.45926,5.77384,4.14269,5.2241e-05,5.2241e-05,5.2241e-05
19,39.7718,3.60137,5.60114,4.17199,0,0,0,0,3.4543,5.77125,4.13972,4.8314e-05,4.8314e-05,4.8314e-05
20,41.8258,3.61195,5.55506,4.17679,0,0,0,0,3.44912,5.76357,4.13692,4.4387e-05,4.4387e-05,4.4387e-05
21,44.4678,3.44263,5.69775,4.19521,0,0,0,0,3.44499,5.74843,4.13459,4.046e-05,4.046e-05,4.046e-05
22,46.4992,3.44123,5.64296,4.18326,0,0,0,0,3.4386,5.72093,4.13107,3.6533e-05,3.6533e-05,3.6533e-05
23,48.6094,3.38234,5.66615,4.1935,0,0,0,0,3.43816,5.68328,4.12842,3.2606e-05,3.2606e-05,3.2606e-05
24,50.9179,3.46966,5.63837,4.1915,0.00475,0.00184,0.00081,0.00016,3.42586,5.64307,4.13013,2.8679e-05,2.8679e-05,2.8679e-05
25,53.0337,3.43022,5.65569,4.17287,0.00416,0.00477,0.001,0.00024,3.42347,5.61475,4.13454,2.4752e-05,2.4752e-05,2.4752e-05
26,55.3304,3.45796,5.60866,4.18364,0.00199,0.00483,0.00104,0.00031,3.42691,5.58807,4.13684,2.0825e-05,2.0825e-05,2.0825e-05
27,57.4917,3.45077,5.67658,4.18095,0.00083,0.00494,0.00103,0.00024,3.41024,5.56748,4.13707,1.6898e-05,1.6898e-05,1.6898e-05
28,59.6417,3.41249,5.6369,4.16884,0.00061,0.00516,0.00072,0.00017,3.40526,5.55124,4.14176,1.2971e-05,1.2971e-05,1.2971e-05
29,61.7178,3.44945,5.6782,4.16892,0.00054,0.00566,0.00149,0.00034,3.40695,5.54431,4.15131,9.044e-06,9.044e-06,9.044e-06
30,63.8794,3.40639,5.65732,4.17075,0.00041,0.00577,0.00107,0.00049,3.40788,5.54014,4.15854,5.117e-06,5.117e-06,5.117e-06
