epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.12853,1.26561,1.6075,1.31321,0.6548,0.52728,0.61004,0.4495,1.08967,1.13486,1.12703,8.33e-06,8.33e-06,8.33e-06
2,5.54148,1.22127,1.48419,1.25374,0.64851,0.54561,0.62547,0.45875,1.08325,1.11224,1.12439,1.72609e-05,1.72609e-05,1.72609e-05
3,7.86594,1.1749,1.4007,1.22492,0.65757,0.55683,0.63673,0.47003,1.0786,1.09196,1.12156,2.55636e-05,2.55636e-05,2.55636e-05
4,10.2492,1.22432,1.42254,1.24713,0.67408,0.59365,0.66858,0.48713,1.07353,1.07012,1.11798,3.32379e-05,3.32379e-05,3.32379e-05
5,12.6687,1.17427,1.31657,1.21653,0.68919,0.61795,0.68616,0.50046,1.06253,1.04826,1.11197,4.02839e-05,4.02839e-05,4.02839e-05
6,14.9904,1.13178,1.25218,1.17943,0.67965,0.62992,0.69467,0.50968,1.05607,1.0231,1.10571,4.67016e-05,4.67016e-05,4.67016e-05
7,17.3487,1.1711,1.23661,1.21877,0.66229,0.65302,0.70158,0.51819,1.04968,1.00507,1.10132,5.24909e-05,5.24909e-05,5.24909e-05
8,19.6151,1.11171,1.19832,1.16379,0.66278,0.66365,0.70396,0.5218,1.03935,0.97945,1.09468,5.76519e-05,5.76519e-05,5.76519e-05
9,21.9656,1.17611,1.24133,1.20121,0.68727,0.65532,0.71564,0.53213,1.02334,0.94471,1.08499,6.21846e-05,6.21846e-05,6.21846e-05
10,24.1976,1.07275,1.14139,1.17344,0.68985,0.66769,0.72756,0.54206,1.01284,0.92243,1.07989,6.6089e-05,6.6089e-05,6.6089e-05
11,26.4792,1.08969,1.13463,1.17788,0.71119,0.67473,0.72745,0.55004,1.00447,0.89726,1.07347,6.93651e-05,6.93651e-05,6.93651e-05
12,28.854,1.09,1.09767,1.16725,0.71696,0.68242,0.74486,0.55677,0.99908,0.87817,1.06891,7.20129e-05,7.20129e-05,7.20129e-05
13,31.2259,1.05882,1.07288,1.1435,0.78464,0.65476,0.7522,0.562,0.99203,0.85688,1.06534,7.1876e-05,7.1876e-05,7.1876e-05
14,33.4643,1.07305,1.09501,1.1504,0.83319,0.6419,0.75962,0.56631,0.98493,0.84069,1.06048,6.7949e-05,6.7949e-05,6.7949e-05
15,35.7978,1.08671,1.05288,1.1361,0.79639,0.67491,0.75704,0.57502,0.97558,0.82712,1.05569,6.4022e-05,6.4022e-05,6.4022e-05
16,37.9834,1.03915,1.01693,1.15545,0.79795,0.67601,0.7569,0.58012,0.96887,0.81508,1.05311,6.0095e-05,6.0095e-05,6.0095e-05
17,40.2575,1.04523,1.0169,1.1501,0.78352,0.6963,0.76044,0.5833,0.95895,0.80366,1.04697,5.6168e-05,5.6168e-05,5.6168e-05
18,42.5498,1.0081,1.00372,1.10913,0.77735,0.70528,0.76237,0.58806,0.95147,0.78705,1.04199,5.2241e-05,5.2241e-05,5.2241e-05
19,44.9286,1.07115,1.02654,1.14696,0.79693,0.70522,0.76749,0.59274,0.94253,0.77497,1.03786,4.8314e-05,4.8314e-05,4.8314e-05
20,47.2782,1.03174,0.97781,1.13139,0.80379,0.71319,0.771,0.59752,0.93635,0.76642,1.03366,4.4387e-05,4.4387e-05,4.4387e-05
21,50.226,1.02378,1.0152,1.10241,0.78499,0.70743,0.77045,0.59573,0.93419,0.76869,1.03063,4.046e-05,4.046e-05,4.046e-05
22,52.4378,1.06277,1.03284,1.12926,0.78172,0.7149,0.77606,0.5997,0.93584,0.76746,1.02772,3.6533e-05,3.6533e-05,3.6533e-05
23,54.7146,1.05055,1.03089,1.12363,0.77313,0.71954,0.78333,0.6033,0.93537,0.76517,1.02835,3.2606e-05,3.2606e-05,3.2606e-05
24,56.9898,1.03611,1.04136,1.12102,0.76506,0.71704,0.78906,0.60517,0.93552,0.76285,1.0281,2.8679e-05,2.8679e-05,2.8679e-05
25,59.4248,1.03706,0.99336,1.12402,0.77475,0.71899,0.79323,0.60717,0.93596,0.76252,1.02777,2.4752e-05,2.4752e-05,2.4752e-05
26,61.8065,1.00087,0.91278,1.09304,0.77816,0.70307,0.79915,0.61301,0.93682,0.76375,1.0284,2.0825e-05,2.0825e-05,2.0825e-05
27,64.1673,0.98145,0.90535,1.0746,0.77708,0.70011,0.799,0.61373,0.93643,0.76423,1.02793,1.6898e-05,1.6898e-05,1.6898e-05
28,66.5134,1.02444,0.93283,1.08385,0.77737,0.69972,0.79837,0.6119,0.93786,0.76523,1.0282,1.2971e-05,1.2971e-05,1.2971e-05
29,68.7061,1.03896,0.96464,1.09916,0.81474,0.68639,0.80115,0.61504,0.93692,0.76784,1.02746,9.044e-06,9.044e-06,9.044e-06
30,71.0126,1.01143,0.91274,1.11065,0.82204,0.68896,0.80283,0.61564,0.93559,0.76746,1.02653,5.117e-06,5.117e-06,5.117e-06
